IDX,USER_QUERY,IS_VALID,MATCH,NUM_FILTERS_EXP,FILTERS_EXP,OPERATORS_EXP,VALUES_EXP,NUM_FILTERS_ACT,FILTERS_ACT,OPERATORS_ACT,VALUES_ACT
104,"Can you show me the records where the individual responsible for a plant section is William Brown and the commencement of the maintenance job was scheduled for on or before August 20, 2021?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,PlantSectionPersonRespName,eq,'WilliamBrown',2,MaintOrdSchedBasicStartDate,le,20/8/21
,,,,,MaintOrdBasicStartDateTime,le,datetimeoffset'2021-08-20T00:00:00',,,,
,,,,,,,,,,,
105,"Can you show me the maintenance orders that concluded between June 12, 2026 and September 15, 2026?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrdBasicEndDateTime,le,datetimeoffset'2026-09-15T00:00:00',2,MaintOrdBasicEndDate,ge,12/6/26
,,,,,MaintOrdBasicEndDateTime,ge,datetimeoffset'2026-06-12T00:00:00',,MaintOrdBasicEndDate,le,15/9/26
,,,,,,,,,,,
107,"Can you fetch me the records where the latest acceptable completion date is exactly December 16, 2023 and the scheduled basic start date for the maintenance order is on or after February 14, 2026?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,LatestAcceptableCompletionDate,eq,datetime'2023-12-16T00:00:00',2,LatestAcceptableCompletionDate,eq,datetime'2023-12-16T00:00:00'
,,,,,MaintOrdSchedBscStartDateTime,ge,datetimeoffset'2026-02-14T00:00:00',,ScheduledBasicStartDate,ge,datetime'2026-02-14T00:00:00'
,,,,,,,,,,,
108,"Could you pull up the maintenance order that's scheduled to start exactly on May 24, 2024, and is associated with the fifth element of the Work Breakdown Structure?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrdBasicStartDateTime,eq,datetimeoffset'2024-05-24T00:00:00',2,MaintOrdSchedBasicStartDate,eq,24/5/24
,,,,,WBSElement,eq,'WBSElement5',,WBSElement,eq,'5'
,,,,,,,,,,,
110,"Can you show me the maintenance orders scheduled to start on or before September 6, 2023, where the type of maintenance activity is a 'Replace' operation?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrdSchedBscStartDateTime,le,datetimeoffset'2023-09-06T00:00:00',0,,,
,,,,,MaintenanceActivityType,eq,'Y01',,,,
114,"I'm looking for maintenance orders scheduled to start on or before October 2, 2026, and also have open purchase orders.",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrdBasicStartDateTime,le,datetimeoffset'2026-10-02T00:00:00',2,MaintOrdHasOpenPurchaseOrders,eq,TRUE
,,,,,MaintOrdHasOpenPurchaseOrders,eq,TRUE,,MaintOrdSchedBasicStartDate,le,2/10/26
,,,,,,,,,,,
119,"Kindly provide me with the maintenance orders that are set to start on September 20, 2029, specifically in the city of Cairo.",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrdBasicStartDateTime,eq,datetimeoffset'2029-09-20T00:00:00',2,CityName,eq,'Cairo'
,,,,,CityName,eq,'Cairo',,MaintOrdBasicStartDate,eq,20/9/29
,,,,,,,,,,,
122,"Can you please look for maintenance orders that are planned to end between January 13, 2021 and February 4, 2021?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrdSchedldBscEndDateTime,le,datetimeoffset'2021-02-04T00:00:00',2,MaintOrdBasicEndDate,gt,2021-01-13T00:00:00
,,,,,MaintOrdSchedldBscEndDateTime,ge,datetimeoffset'2021-01-13T00:00:00',,MaintOrdBasicEndDate,lt,2021-02-04T23:59:59
,,,,,,,,,,,
124,"Show me the records where the scheduled end date and time for the maintenance order is on or after May 19, 2029 and the sub-phase of the maintenance order process is not specified.",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrdSchedldBscEndDateTime,ge,datetimeoffset'2029-05-19T00:00:00',1,ScheduledBasicEndDateTime,ge,datetime'2029-05-19T00:00:00'
,,,,,MaintOrdProcessSubPhaseCode,eq,'',,,,
,,,,,,,,,,,
125,"Can you provide the maintenance orders that ended between July 30, 2028 and September 4, 2028?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrdBasicEndDateTime,le,datetimeoffset'2028-09-04T00:00:00',2,MaintOrdBasicEndDate,gt,30/7/28
,,,,,MaintOrdBasicEndDateTime,ge,datetimeoffset'2028-07-30T00:00:00',,MaintOrdBasicEndDate,lt,4/9/28
,,,,,,,,,,,
126,"Can you show me the entries where the StatusProfile is unspecified or not set, and the maintenance order was referenced exactly on August 3, 2026?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,StatusProfile,eq,'',2,MaintOrderReferenceDateTime,eq,datetime'2026-08-03T00:00:00'
,,,,,MaintOrderReferenceDateTime,eq,datetimeoffset'2026-08-03T00:00:00',,,,
,,,,,,,,,,,
127,"Can you pull up the records for the entries created by the user 'Jaw' and the maintenance order creation date is on or after August 22, 2027?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,CreatedByUser,eq,'CB9980002492',2,CreatedByUser,eq,'Jaw'
,,,,,MaintOrderCreationDateTime,ge,datetimeoffset'2027-08-22T00:00:00',,MaintOrderCreationDateTime,ge,datetime'2027-08-22T00:00:00'
,,,,,,,,,,,
131,"Can you provide me with maintenance orders scheduled to end between July 23, 2022 and August 16, 2022?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrdSchedldBscEndDateTime,le,datetimeoffset'2022-08-16T00:00:00',2,MaintOrdBasicEndDate,ge,23/7/22
,,,,,MaintOrdSchedldBscEndDateTime,ge,datetimeoffset'2022-07-23T00:00:00',,MaintOrdBasicEndDate,le,16/8/22
,,,,,,,,,,,
135,"I'd like to see records where the maintenance order was created on July 14, 2022, and the equipment used was a Backhoe.",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrderCreationDateTime,eq,datetimeoffset'2022-07-14T00:00:00',2,CreationDate,eq,14/7/22
,,,,,Equipment,eq,'Backhoe',,TechObjIsEquipOrFuncnlLoc,eq,'Equipment'
,,,,,,,,,,,
138,"Can you pull up the records that are due to start maintenance on or before May 24, 2024, and where the maintenance processing phase is marked as Outstanding?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrdBasicStartDateTime,le,datetimeoffset'2024-05-24T00:00:00',2,MaintOrdBasicStartDate,le,24/5/24
,,,,,MaintenanceProcessingPhase,eq,'0',,MaintenanceProcessingPhase,eq,'0'
,,,,,,,,,,,
141,"Can you retrieve the maintenance orders that were created between August 24, 2021 and February 16, 2022?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrderCreationDateTime,le,datetimeoffset'2022-02-16T00:00:00',2,CreationDate,gt,24/8/21
,,,,,MaintOrderCreationDateTime,ge,datetimeoffset'2021-08-24T00:00:00',,CreationDate,lt,16/2/22
,,,,,,,,,,,
143,"Could you please provide me with all maintenance order references that fall between January 24, 2024, and January 30, 2024?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrderReferenceDateTime,ge,datetimeoffset'2024-01-24T00:00:00',2,MaintOrderReferenceDateTime,ge,datetime'2024-01-24T00:00:00'
,,,,,MaintOrderReferenceDateTime,le,datetimeoffset'2024-01-30T00:00:00',,MaintOrderReferenceDateTime,le,datetime'2024-01-30T23:59:59'
,,,,,,,,,,,
144,"Can you provide the maintenance orders that have a basic end date and time between November 2, 2020 and May 5, 2021?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrdBasicEndDateTime,ge,datetimeoffset'2020-11-02T00:00:00',2,MaintOrdBasicEndDateTime,gt,datetime'2020-11-02T00:00:00'
,,,,,MaintOrdBasicEndDateTime,le,datetimeoffset'2021-05-05T00:00:00',,MaintOrdBasicEndDateTime,lt,datetime'2021-05-05T23:59:59'
,,,,,,,,,,,
147,"Retrieve the maintenance orders that were created in the period ranging from September 8, 2027 to March 18, 2028.",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrderCreationDateTime,le,datetimeoffset'2028-03-18T00:00:00',2,CreationDate,ge,2027-09-08T00:00:00
,,,,,MaintOrderCreationDateTime,ge,datetimeoffset'2027-09-08T00:00:00',,CreationDate,le,2028-03-18T23:59:59
,,,,,,,,,,,
151,"Can you fetch the maintenance orders that were referenced between December 7, 2022 and December 15, 2022 inclusive.",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrderReferenceDateTime,ge,datetimeoffset'2022-12-07T00:00:00',2,MaintOrderReferenceDate,ge,7/12/22
,,,,,MaintOrderReferenceDateTime,le,datetimeoffset'2022-12-15T00:00:00',,MaintOrderReferenceDate,le,15/12/22
,,,,,,,,,,,
155,"I am looking for maintenance orders that have their basic end date and time between or on December 10, 2028 and December 15, 2028.",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrdBasicEndDateTime,le,datetimeoffset'2028-12-15T00:00:00',2,MaintOrdBasicEndDateTime,ge,datetime'2028-12-10T00:00:00'
,,,,,MaintOrdBasicEndDateTime,ge,datetimeoffset'2028-12-10T00:00:00',,MaintOrdBasicEndDateTime,le,datetime'2028-12-15T23:59:59'
,,,,,,,,,,,
160,"Show me the maintenance orders that were created between May 25, 2024 and July 4, 2024.",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrderCreationDateTime,le,datetimeoffset'2024-07-04T00:00:00',2,CreationDate,gt,datetime'2024-05-25T00:00:00'
,,,,,MaintOrderCreationDateTime,ge,datetimeoffset'2024-05-25T00:00:00',,CreationDate,lt,datetime'2024-07-04T23:59:59'
,,,,,,,,,,,
164,"Can you provide me with the maintenance orders which are scheduled to commence starting March 9, 2029 and ending April 30, 2029?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrdSchedBscStartDateTime,ge,datetimeoffset'2029-03-09T00:00:00',2,ScheduledBasicStartDate,gt,9/3/29
,,,,,MaintOrdSchedBscStartDateTime,le,datetimeoffset'2029-04-30T00:00:00',,ScheduledBasicStartDate,lt,30/4/29
,,,,,,,,,,,
166,"Kindly provide the maintenance orders that are scheduled to end between February 22, 2021 and July 23, 2021.",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrdSchedldBscEndDateTime,le,datetimeoffset'2021-07-23T00:00:00',2,MaintOrdBasicEndDate,gt,22/2/21
,,,,,MaintOrdSchedldBscEndDateTime,ge,datetimeoffset'2021-02-22T00:00:00',,MaintOrdBasicEndDate,lt,23/7/21
,,,,,,,,,,,
170,"Can I have the maintenance orders that are planned to begin between January 19, 2022 and March 17, 2022 inclusively?",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintOrdSchedBscStartDateTime,le,datetimeoffset'2022-03-17T00:00:00',2,MaintOrdBasicEndDate,le,17/3/22
,,,,,MaintOrdSchedBscStartDateTime,ge,datetimeoffset'2022-01-19T00:00:00',,MaintOrdBasicStartDate,ge,19/1/22
,,,,,,,,,,,
175,"I require the schedule of maintenance activities that are categorised under 'Planned Maintenance July' and are intended to end precisely on October 26, 2025.",F,FilterCriteria does not match.,NUM_FILTERS,FILTERS,OPERATORS,VALUES,NUM_FILTERS,FILTERS,OPERATORS,VALUES
,,,SelectProperties does not match.,2,MaintPlngBucketLabel,eq,'PlannedMaintenanceJuly',2,MaintOrdBasicEndDate,eq,26/10/25
,,,,,MaintOrdSchedldBscEndDateTime,eq,datetimeoffset'2025-10-26T00:00:00',,MaintenanceOrderType,eq,'YBA1'
